Gene Name	Gene Probability	Locus Location
P2RX7	0.404926926	12 : 121166864 - 121679195
SYMPK	0.404481858	19 : 45928661 - 46428662
EBLN2	0.402787387	3 : 72615183 - 73115184
CDKN2A	0.401318043	9 : 21884068 - 22386441
SERINC3	0.401227057	20 : 42746184 - 43292365
PPP4R2	0.400580972	3 : 72615183 - 73115184
CHMP4B	0.39948833	20 : 31716698 - 32631338
ELAVL1	0.398903757	19 : 7720635 - 8679324
FAM221A	0.397786975	7 : 23262896 - 23762897
CCDC121	0.397266358	2 : 27480940 - 27980941
PLEKHA1	0.396040797	10 : 123915615 - 124415616
HTRA1	0.396040797	10 : 123915615 - 124415616
BTBD16	0.396040797	10 : 123915615 - 124415616
ZNF414	0.395536304	19 : 7720635 - 8679324
ITGAE	0.395473033	17 : 3578086 - 4331976
CDK5RAP1	0.393748254	20 : 31716698 - 32631338
SRP14	0.393665731	15 : 40148754 - 40648755
NANOS2	0.392971992	19 : 45928661 - 46428662
SLCO4C1	0.391363502	5 : 100524699 - 103223338
SLC36A4	0.391347766	11 : 92458710 - 93310240
ZNF512	0.391256332	2 : 27480940 - 27980941
GPN1	0.391256332	2 : 27480940 - 27980941
CLEC4M	0.389770061	19 : 7720635 - 8679324
CLEC4G	0.389770061	19 : 7720635 - 8679324
CD209	0.389770061	19 : 7720635 - 8679324
SLCO6A1	0.387681425	5 : 100524699 - 103223338
TRAPPC5	0.386761785	19 : 7720635 - 8679324
UCKL1	0.384865969	20 : 62443175 - 62943176
NUDT12	0.383485854	5 : 100524699 - 103223338
TMEM250	0.382812202	9 : 138993334 - 139520877
TIMM44	0.382015288	19 : 7720635 - 8679324
SAMD10	0.37890166	20 : 62443175 - 62943176
COL13A1	0.378674388	10 : 71071279 - 71720826
CDH24	0.37487334	14 : 23038935 - 23538936
PSMB5	0.370471358	14 : 23038935 - 23538936
DNAJC5	0.369394362	20 : 62443175 - 62943176
PLEKHH2	0.366758078	2 : 43179806 - 44270442
BORCS8	0.364763021	19 : 19157718 - 20036100
C5orf30	0.364619285	5 : 100524699 - 103223338
RETN	0.364451706	19 : 7720635 - 8679324
MCEMP1	0.364451706	19 : 7720635 - 8679324
REM2	0.363610208	14 : 23038935 - 23538936
R3HDML	0.363115609	20 : 42746184 - 43292365
GMIP	0.362674028	19 : 19157718 - 20036100
NCBP3	0.362196624	17 : 3578086 - 4331976
KRTCAP3	0.361917406	2 : 27480940 - 27980941
PRPF6	0.361056775	20 : 62443175 - 62943176
FOSB	0.359889925	19 : 45928661 - 46428662
BPIFB1	0.359720916	20 : 31716698 - 32631338
RPS13	0.358581275	11 : 16851554 - 17658405
DNAJC5G	0.355273277	2 : 27480940 - 27980941
VASP	0.354113132	19 : 45928661 - 46428662
SNAPC2	0.353081554	19 : 7720635 - 8679324
HASPIN	0.351703137	17 : 3578086 - 4331976
PARP11	0.349541843	12 : 3884173 - 4634845
TRIM54	0.349530101	2 : 27480940 - 27980941
SLC30A3	0.349530101	2 : 27480940 - 27980941
SLC4A1AP	0.348026037	2 : 27480940 - 27980941
NDUFA13	0.347135246	19 : 19157718 - 20036100
DAD1	0.345520914	14 : 23038935 - 23538936
C14orf93	0.343861073	14 : 23038935 - 23538936
KANK3	0.342333674	19 : 7720635 - 8679324
EVI5L	0.341749549	19 : 7720635 - 8679324
ZNF512B	0.341660142	20 : 62443175 - 62943176
PSMB11	0.33924666	14 : 23038935 - 23538936
CTXN1	0.336505294	19 : 7720635 - 8679324
IGF2	0.33306399	11 : 1823182 - 3107195
P2RX5-TAX1BP3	0.330076575	17 : 3578086 - 4331976
P2RX5	0.330076575	17 : 3578086 - 4331976
CTRB2	0.329429388	16 : 74984872 - 75767116
VTI1A	0.30972293	10 : 114391576 - 115130343
C1GALT1C1L	0.302504092	2 : 43179806 - 44270442
SFRP1	0.30138579	8 : 41010259 - 41808687
SLC22A18AS	0.301360458	11 : 1823182 - 3107195
NCAN	0.300513595	19 : 19157718 - 20036100
MAU2	0.295905739	19 : 19157718 - 20036100
TSSK6	0.29251492	19 : 19157718 - 20036100
CCL25	0.288348168	19 : 7720635 - 8679324
MARC2	0.282810152	19 : 7720635 - 8679324
DYNC2LI1	0.282164663	2 : 43179806 - 44270442
ABCG8	0.282164663	2 : 43179806 - 44270442
ABCG5	0.282164663	2 : 43179806 - 44270442
JPH2	0.274484128	20 : 42746184 - 43292365
RFXANK	0.270269632	19 : 19157718 - 20036100
NR2C2AP	0.270269632	19 : 19157718 - 20036100
MEF2B	0.265335143	19 : 19157718 - 20036100
BORCS8-MEF2B	0.265335143	19 : 19157718 - 20036100
ARHGAP39	0.261925429	8 : 144995647 - 146226022
ZNRF1	0.249623865	16 : 74984872 - 75767116
ZNF517	0.247722432	8 : 144995647 - 146226022
ZNF34	0.247722432	8 : 144995647 - 146226022
COMMD5	0.247722432	8 : 144995647 - 146226022
CFDP1	0.246761739	16 : 74984872 - 75767116
LPAR2	0.239909276	19 : 19157718 - 20036100
TMEM161A	0.239518151	19 : 19157718 - 20036100
RPL8	0.235377043	8 : 144995647 - 146226022
FITM2	0.231473804	20 : 42746184 - 43292365
ZNF14	0.226662904	19 : 19157718 - 20036100
ZNF7	0.218207121	8 : 144995647 - 146226022
ZNF251	0.203823954	8 : 144995647 - 146226022
ZNF250	0.203823954	8 : 144995647 - 146226022
ZNF16	0.203823954	8 : 144995647 - 146226022
ZNF506	0.196683243	19 : 19157718 - 20036100
PBX4	0.196293667	19 : 19157718 - 20036100
SLC25A42	0.194096386	19 : 19157718 - 20036100
ARMC6	0.194096386	19 : 19157718 - 20036100
ZNF253	0.186611563	19 : 19157718 - 20036100
TTPAL	0.183914304	20 : 42746184 - 43292365
YJEFN3	0.170924187	19 : 19157718 - 20036100
CILP2	0.170924187	19 : 19157718 - 20036100
TERF2IP	0.161124066	16 : 74984872 - 75767116
PHLDA2	0.151705071	11 : 1823182 - 3107195
BCAR1	0.149449587	16 : 74984872 - 75767116
CPHXL	0.147064462	16 : 74984872 - 75767116
TRPM5	0.144442424	11 : 1823182 - 3107195
LDHD	0.142013878	16 : 74984872 - 75767116
GABARAPL2	0.140927836	16 : 74984872 - 75767116
ZFP1	0.134206027	16 : 74984872 - 75767116
TMEM231	0.133520842	16 : 74984872 - 75767116
DUXB	0.123688363	16 : 74984872 - 75767116
CHST5	0.118391715	16 : 74984872 - 75767116
KARS	0.116750859	16 : 74984872 - 75767116
TMEM170A	0.111713491	16 : 74984872 - 75767116
CHST6	0.111713491	16 : 74984872 - 75767116
ADAT1	0.111713491	16 : 74984872 - 75767116
INS	0.110594921	11 : 1823182 - 3107195
SLC22A18	0.109952316	11 : 1823182 - 3107195
INS-IGF2	0.10557922	11 : 1823182 - 3107195
TSSC4	0.079049796	11 : 1823182 - 3107195
NAP1L4	0.075662784	11 : 1823182 - 3107195
CARS	0.063430615	11 : 1823182 - 3107195
TNNT3	0.058072686	11 : 1823182 - 3107195
CD81	0.055715431	11 : 1823182 - 3107195
TNNI2	0.045037862	11 : 1823182 - 3107195
SYT8	0.045037862	11 : 1823182 - 3107195
LSP1	0.04285207	11 : 1823182 - 3107195
